table_name,ordinal_position,column_name,data_type,database_type,is_nullable,column_default,max_length
api_connections,1,id,text,text,NO,"",""
api_connections,2,provider,text,text,NO,"",""
api_connections,3,display_name,text,text,NO,"",""
api_connections,4,category,text,text,NO,"",""
api_connections,5,credentials_encrypted,text,text,YES,"",""
api_connections,6,public_config,jsonb,jsonb,NO,'{}'::jsonb,""
api_connections,7,is_enabled,boolean,bool,NO,false,""
api_connections,8,last_tested_at,timestamp with time zone,timestamptz,YES,"",""
api_connections,9,last_test_status,text,text,YES,"",""
api_connections,10,last_test_message,text,text,YES,"",""
api_connections,11,updated_by,uuid,uuid,YES,"",""
api_connections,12,created_at,timestamp with time zone,timestamptz,NO,now(),""
api_connections,13,updated_at,timestamp with time zone,timestamptz,NO,now(),""
audit_log,1,id,uuid,uuid,NO,gen_random_uuid(),""
audit_log,2,actor_type,text,text,NO,"",""
audit_log,3,actor_id,uuid,uuid,YES,"",""
audit_log,4,actor_name,text,text,YES,"",""
audit_log,5,action,text,text,NO,"",""
audit_log,6,entity_type,text,text,NO,"",""
audit_log,7,entity_id,uuid,uuid,YES,"",""
audit_log,8,details,jsonb,jsonb,YES,"",""
audit_log,9,created_at,timestamp with time zone,timestamptz,NO,now(),""
courier_settlements,1,id,uuid,uuid,NO,gen_random_uuid(),""
courier_settlements,2,courier_id,uuid,uuid,NO,"",""
courier_settlements,3,amount_leones,integer,int4,NO,"",""
courier_settlements,4,period_start,timestamp with time zone,timestamptz,NO,"",""
courier_settlements,5,period_end,timestamp with time zone,timestamptz,NO,"",""
courier_settlements,6,delivery_count,integer,int4,NO,0,""
courier_settlements,7,status,USER-DEFINED,settlement_status,NO,'pending'::settlement_status,""
courier_settlements,8,paid_at,timestamp with time zone,timestamptz,YES,"",""
courier_settlements,9,reference,text,text,YES,"",""
courier_settlements,10,created_at,timestamp with time zone,timestamptz,NO,now(),""
courier_settlements,11,updated_at,timestamp with time zone,timestamptz,NO,now(),""
couriers,1,id,uuid,uuid,NO,gen_random_uuid(),""
couriers,2,name,text,text,NO,"",""
couriers,3,phone,text,text,NO,"",""
couriers,4,vehicle_type,text,text,NO,'motorbike'::text,""
couriers,5,is_active,boolean,bool,NO,true,""
couriers,6,created_at,timestamp with time zone,timestamptz,NO,now(),""
couriers,7,updated_at,timestamp with time zone,timestamptz,NO,now(),""
drug_catalogue,1,id,uuid,uuid,NO,gen_random_uuid(),""
drug_catalogue,2,name,text,text,NO,"",""
drug_catalogue,3,generic_name,text,text,YES,"",""
drug_catalogue,4,description,text,text,YES,"",""
drug_catalogue,5,tier,USER-DEFINED,drug_tier,NO,'3'::drug_tier,""
drug_catalogue,6,unit,text,text,NO,'tablets'::text,""
drug_catalogue,7,is_approved,boolean,bool,NO,true,""
drug_catalogue,8,proposed_by_pharmacy_id,uuid,uuid,YES,"",""
drug_catalogue,9,created_at,timestamp with time zone,timestamptz,NO,now(),""
drug_catalogue,10,updated_at,timestamp with time zone,timestamptz,NO,now(),""
