table_name,constraint_name,constraint_type,columns
api_connections,2200_33548_12_not_null,CHECK,""
api_connections,2200_33548_13_not_null,CHECK,""
api_connections,2200_33548_1_not_null,CHECK,""
api_connections,2200_33548_2_not_null,CHECK,""
api_connections,2200_33548_3_not_null,CHECK,""
api_connections,2200_33548_4_not_null,CHECK,""
api_connections,2200_33548_6_not_null,CHECK,""
api_connections,2200_33548_7_not_null,CHECK,""
api_connections,api_connections_updated_by_hq_staff_id_fk,FOREIGN KEY,updated_by
api_connections,api_connections_pkey,PRIMARY KEY,id
audit_log,2200_16681_1_not_null,CHECK,""
audit_log,2200_16681_2_not_null,CHECK,""
audit_log,2200_16681_5_not_null,CHECK,""
audit_log,2200_16681_6_not_null,CHECK,""
audit_log,2200_16681_9_not_null,CHECK,""
audit_log,audit_log_pkey,PRIMARY KEY,id
courier_settlements,2200_16647_10_not_null,CHECK,""
courier_settlements,2200_16647_11_not_null,CHECK,""
courier_settlements,2200_16647_1_not_null,CHECK,""
courier_settlements,2200_16647_2_not_null,CHECK,""
courier_settlements,2200_16647_3_not_null,CHECK,""
courier_settlements,2200_16647_4_not_null,CHECK,""
courier_settlements,2200_16647_5_not_null,CHECK,""
courier_settlements,2200_16647_6_not_null,CHECK,""
courier_settlements,2200_16647_7_not_null,CHECK,""
courier_settlements,courier_settlements_courier_id_couriers_id_fk,FOREIGN KEY,courier_id
courier_settlements,courier_settlements_pkey,PRIMARY KEY,id
couriers,2200_16633_1_not_null,CHECK,""
couriers,2200_16633_2_not_null,CHECK,""
couriers,2200_16633_3_not_null,CHECK,""
couriers,2200_16633_4_not_null,CHECK,""
couriers,2200_16633_5_not_null,CHECK,""
couriers,2200_16633_6_not_null,CHECK,""
couriers,2200_16633_7_not_null,CHECK,""
couriers,couriers_pkey,PRIMARY KEY,id
couriers,couriers_phone_unique,UNIQUE,phone
drug_catalogue,2200_16474_10_not_null,CHECK,""
drug_catalogue,2200_16474_12_not_null,CHECK,""
drug_catalogue,2200_16474_13_not_null,CHECK,""
drug_catalogue,2200_16474_16_not_null,CHECK,""
drug_catalogue,2200_16474_1_not_null,CHECK,""
drug_catalogue,2200_16474_2_not_null,CHECK,""
drug_catalogue,2200_16474_5_not_null,CHECK,""
drug_catalogue,2200_16474_6_not_null,CHECK,""
drug_catalogue,2200_16474_7_not_null,CHECK,""
drug_catalogue,2200_16474_9_not_null,CHECK,""
drug_catalogue,drug_catalogue_proposed_by_pharmacy_id_pharmacies_id_fk,FOREIGN KEY,proposed_by_pharmacy_id
drug_catalogue,drug_catalogue_reviewed_by_hq_staff_id_hq_staff_id_fk,FOREIGN KEY,reviewed_by_hq_staff_id
drug_catalogue,drug_catalogue_pkey,PRIMARY KEY,id
flags,2200_16671_10_not_null,CHECK,""
flags,2200_16671_1_not_null,CHECK,""
flags,2200_16671_2_not_null,CHECK,""
flags,2200_16671_3_not_null,CHECK,""
