enum_name,enum_value,sort_order
drug_primary_category,pain_fever,1
drug_primary_category,infection,2
drug_primary_category,malaria,3
drug_primary_category,respiratory_allergy,4
drug_primary_category,digestive,5
drug_primary_category,cardiovascular,6
drug_primary_category,diabetes_endocrine,7
drug_primary_category,womens_reproductive,8
drug_primary_category,child_health,9
drug_primary_category,mental_neurological,10
drug_primary_category,skin_wound,11
drug_primary_category,eye_ear,12
drug_primary_category,vitamins_nutrition,13
drug_primary_category,other,14
drug_review_status,pending,1
drug_review_status,approved,2
drug_review_status,rejected,3
drug_subcategory,analgesics_antipyretics,1
drug_subcategory,anti_inflammatory,2
drug_subcategory,antibiotics,3
drug_subcategory,antifungal_antiparasitic,4
drug_subcategory,antimalarials,5
drug_subcategory,cough_cold,6
drug_subcategory,allergy,7
drug_subcategory,gastrointestinal,8
drug_subcategory,oral_rehydration,9
drug_subcategory,hypertension,10
drug_subcategory,heart_health,11
drug_subcategory,diabetes,12
drug_subcategory,reproductive_health,13
drug_subcategory,maternal_health,14
drug_subcategory,pediatric,15
drug_subcategory,neurological,16
drug_subcategory,mental_health,17
drug_subcategory,dermatology,18
drug_subcategory,wound_care,19
drug_subcategory,eye_care,20
drug_subcategory,ear_care,21
drug_subcategory,vitamins_minerals,22
drug_subcategory,other,23
drug_tier,1,1
drug_tier,2,2
drug_tier,3,3
flag_status,open,1
flag_status,reviewed,2
flag_type,velocity,1
flag_type,duplicate,2
flag_type,payment_anomaly,3
fulfillment_type,delivery,1
fulfillment_type,collection,2
inventory_completion_status,incomplete,1
inventory_completion_status,complete,2
order_status,awaiting_payment,1
order_status,paid,2
order_status,confirmed,3
order_status,packaging,4
order_status,ready,5
order_status,assigned,6
order_status,picked_up,7
order_status,delivering,8
order_status,delivered,9
order_status,collected,10
order_status,cancelled,11
prescription_reject_reason,illegible_image,1
prescription_reject_reason,expired_prescription,2
prescription_reject_reason,invalid_prescription,3
prescription_reject_reason,drug_unavailable,4
prescription_reject_reason,controlled_substance_not_authorized,5
prescription_reject_reason,patient_mismatch,6
prescription_reject_reason,quantity_exceeded,7
prescription_status,pending,1
prescription_status,approved,2
prescription_status,rejected,3
settlement_status,pending,1
settlement_status,paid,2
