source_table,source_column,target_table,target_column,constraint_name,update_rule,delete_rule
api_connections,updated_by,hq_staff,id,api_connections_updated_by_hq_staff_id_fk,NO ACTION,SET NULL
courier_settlements,courier_id,couriers,id,courier_settlements_courier_id_couriers_id_fk,NO ACTION,RESTRICT
drug_catalogue,proposed_by_pharmacy_id,pharmacies,id,drug_catalogue_proposed_by_pharmacy_id_pharmacies_id_fk,NO ACTION,SET NULL
drug_catalogue,reviewed_by_hq_staff_id,hq_staff,id,drug_catalogue_reviewed_by_hq_staff_id_hq_staff_id_fk,NO ACTION,SET NULL
flags,order_id,orders,id,flags_order_id_orders_id_fk,NO ACTION,CASCADE
hq_notifications,hq_staff_id,hq_staff,id,hq_notifications_hq_staff_id_hq_staff_id_fk,NO ACTION,CASCADE
hq_refresh_tokens,hq_staff_id,hq_staff,id,hq_refresh_tokens_hq_staff_id_hq_staff_id_fk,NO ACTION,CASCADE
notifications,pharmacy_id,pharmacies,id,notifications_pharmacy_id_pharmacies_id_fk,NO ACTION,CASCADE
order_items,drug_id,drug_catalogue,id,order_items_drug_id_drug_catalogue_id_fk,NO ACTION,RESTRICT
order_items,inventory_id,pharmacy_inventory,id,order_items_inventory_id_pharmacy_inventory_id_fk,NO ACTION,RESTRICT
order_items,order_id,orders,id,order_items_order_id_orders_id_fk,NO ACTION,CASCADE
orders,pharmacy_id,pharmacies,id,orders_pharmacy_id_pharmacies_id_fk,NO ACTION,RESTRICT
patient_notifications,patient_id,patients,id,patient_notifications_patient_id_patients_id_fk,NO ACTION,CASCADE
patient_password_reset_codes,patient_id,patients,id,patient_password_reset_codes_patient_id_patients_id_fk,NO ACTION,CASCADE
patient_refresh_tokens,patient_id,patients,id,patient_refresh_tokens_patient_id_patients_id_fk,NO ACTION,CASCADE
pharmacy_inventory,drug_id,drug_catalogue,id,pharmacy_inventory_drug_id_drug_catalogue_id_fk,NO ACTION,RESTRICT
pharmacy_inventory,pharmacy_id,pharmacies,id,pharmacy_inventory_pharmacy_id_pharmacies_id_fk,NO ACTION,CASCADE
pharmacy_password_history,pharmacy_id,pharmacies,id,pharmacy_password_history_pharmacy_id_pharmacies_id_fk,NO ACTION,CASCADE
prescription_uploads,patient_id,patients,id,prescription_uploads_patient_id_patients_id_fk,NO ACTION,CASCADE
prescriptions,pharmacy_id,pharmacies,id,prescriptions_pharmacy_id_pharmacies_id_fk,NO ACTION,RESTRICT
refresh_tokens,pharmacy_id,pharmacies,id,refresh_tokens_pharmacy_id_pharmacies_id_fk,NO ACTION,CASCADE
saved_api_request_history,actor_id,hq_staff,id,saved_api_request_history_actor_id_hq_staff_id_fk,NO ACTION,SET NULL
saved_api_request_history,request_id,saved_api_requests,id,saved_api_request_history_request_id_saved_api_requests_id_fk,NO ACTION,CASCADE
saved_api_requests,created_by,hq_staff,id,saved_api_requests_created_by_hq_staff_id_fk,NO ACTION,SET NULL
saved_api_requests,updated_by,hq_staff,id,saved_api_requests_updated_by_hq_staff_id_fk,NO ACTION,SET NULL
settlements,pharmacy_id,pharmacies,id,settlements_pharmacy_id_pharmacies_id_fk,NO ACTION,RESTRICT
team_photo_uploads,requested_by_hq_staff_id,hq_staff,id,team_photo_uploads_requested_by_hq_staff_id_hq_staff_id_fk,NO ACTION,CASCADE
team_photo_uploads,team_member_id,team_members,id,team_photo_uploads_team_member_id_team_members_id_fk,NO ACTION,CASCADE
