table_name,index_name,definition
api_connections,api_connections_pkey,CREATE UNIQUE INDEX api_connections_pkey ON public.api_connections USING btree (id)
audit_log,audit_log_pkey,CREATE UNIQUE INDEX audit_log_pkey ON public.audit_log USING btree (id)
courier_settlements,courier_settlements_courier_period_uq,"CREATE UNIQUE INDEX courier_settlements_courier_period_uq ON public.courier_settlements USING btree (courier_id, period_start, period_end)"
courier_settlements,courier_settlements_pkey,CREATE UNIQUE INDEX courier_settlements_pkey ON public.courier_settlements USING btree (id)
couriers,couriers_phone_unique,CREATE UNIQUE INDEX couriers_phone_unique ON public.couriers USING btree (phone)
couriers,couriers_pkey,CREATE UNIQUE INDEX couriers_pkey ON public.couriers USING btree (id)
drug_catalogue,drug_catalogue_pkey,CREATE UNIQUE INDEX drug_catalogue_pkey ON public.drug_catalogue USING btree (id)
flags,flags_pkey,CREATE UNIQUE INDEX flags_pkey ON public.flags USING btree (id)
hq_notifications,hq_notifications_pkey,CREATE UNIQUE INDEX hq_notifications_pkey ON public.hq_notifications USING btree (id)
hq_refresh_tokens,hq_refresh_tokens_pkey,CREATE UNIQUE INDEX hq_refresh_tokens_pkey ON public.hq_refresh_tokens USING btree (id)
hq_refresh_tokens,hq_refresh_tokens_token_hash_unique,CREATE UNIQUE INDEX hq_refresh_tokens_token_hash_unique ON public.hq_refresh_tokens USING btree (token_hash)
hq_staff,hq_staff_phone_unique,CREATE UNIQUE INDEX hq_staff_phone_unique ON public.hq_staff USING btree (phone)
hq_staff,hq_staff_pkey,CREATE UNIQUE INDEX hq_staff_pkey ON public.hq_staff USING btree (id)
hq_staff,hq_staff_username_unique,CREATE UNIQUE INDEX hq_staff_username_unique ON public.hq_staff USING btree (username)
notifications,notifications_pkey,CREATE UNIQUE INDEX notifications_pkey ON public.notifications USING btree (id)
order_items,order_items_pkey,CREATE UNIQUE INDEX order_items_pkey ON public.order_items USING btree (id)
orders,orders_pkey,CREATE UNIQUE INDEX orders_pkey ON public.orders USING btree (id)
patient_notifications,patient_notifications_pkey,CREATE UNIQUE INDEX patient_notifications_pkey ON public.patient_notifications USING btree (id)
patient_password_reset_codes,patient_password_reset_codes_pkey,CREATE UNIQUE INDEX patient_password_reset_codes_pkey ON public.patient_password_reset_codes USING btree (id)
patient_password_reset_codes,patient_password_reset_phone_created_idx,"CREATE INDEX patient_password_reset_phone_created_idx ON public.patient_password_reset_codes USING btree (phone_hash, created_at)"
patient_password_reset_codes,patient_password_reset_requester_created_idx,"CREATE INDEX patient_password_reset_requester_created_idx ON public.patient_password_reset_codes USING btree (requester_hash, created_at)"
patient_refresh_tokens,patient_refresh_tokens_pkey,CREATE UNIQUE INDEX patient_refresh_tokens_pkey ON public.patient_refresh_tokens USING btree (id)
patient_refresh_tokens,patient_refresh_tokens_token_hash_unique,CREATE UNIQUE INDEX patient_refresh_tokens_token_hash_unique ON public.patient_refresh_tokens USING btree (token_hash)
patients,patients_phone_unique,CREATE UNIQUE INDEX patients_phone_unique ON public.patients USING btree (phone)
patients,patients_pkey,CREATE UNIQUE INDEX patients_pkey ON public.patients USING btree (id)
pharmacies,pharmacies_phone_unique,CREATE UNIQUE INDEX pharmacies_phone_unique ON public.pharmacies USING btree (phone)
pharmacies,pharmacies_pkey,CREATE UNIQUE INDEX pharmacies_pkey ON public.pharmacies USING btree (id)
pharmacies,pharmacies_username_unique,CREATE UNIQUE INDEX pharmacies_username_unique ON public.pharmacies USING btree (username)
pharmacy_inventory,pharmacy_inventory_pkey,CREATE UNIQUE INDEX pharmacy_inventory_pkey ON public.pharmacy_inventory USING btree (id)
pharmacy_inventory,uniq_active_pharmacy_drug_variant,"CREATE UNIQUE INDEX uniq_active_pharmacy_drug_variant ON public.pharmacy_inventory USING btree (pharmacy_id, drug_id, strength, form, unit_of_sale) WHERE (is_active = true)"
pharmacy_password_history,pharmacy_password_history_pkey,CREATE UNIQUE INDEX pharmacy_password_history_pkey ON public.pharmacy_password_history USING btree (id)
pharmacy_password_policy,pharmacy_password_policy_pkey,CREATE UNIQUE INDEX pharmacy_password_policy_pkey ON public.pharmacy_password_policy USING btree (id)
prescription_uploads,prescription_uploads_image_key_unique,CREATE UNIQUE INDEX prescription_uploads_image_key_unique ON public.prescription_uploads USING btree (image_key)
prescription_uploads,prescription_uploads_pkey,CREATE UNIQUE INDEX prescription_uploads_pkey ON public.prescription_uploads USING btree (id)
prescriptions,prescriptions_pkey,CREATE UNIQUE INDEX prescriptions_pkey ON public.prescriptions USING btree (id)
refresh_tokens,refresh_tokens_pkey,CREATE UNIQUE INDEX refresh_tokens_pkey ON public.refresh_tokens USING btree (id)
refresh_tokens,refresh_tokens_token_hash_unique,CREATE UNIQUE INDEX refresh_tokens_token_hash_unique ON public.refresh_tokens USING btree (token_hash)
saved_api_request_history,saved_api_request_history_pkey,CREATE UNIQUE INDEX saved_api_request_history_pkey ON public.saved_api_request_history USING btree (id)
saved_api_requests,saved_api_requests_pkey,CREATE UNIQUE INDEX saved_api_requests_pkey ON public.saved_api_requests USING btree (id)
settlements,settlements_pharmacy_period_uq,"CREATE UNIQUE INDEX settlements_pharmacy_period_uq ON public.settlements USING btree (pharmacy_id, period_start, period_end)"
settlements,settlements_pkey,CREATE UNIQUE INDEX settlements_pkey ON public.settlements USING btree (id)
team_members,team_members_pkey,CREATE UNIQUE INDEX team_members_pkey ON public.team_members USING btree (id)
team_members,team_members_slug_unique,CREATE UNIQUE INDEX team_members_slug_unique ON public.team_members USING btree (slug)
team_photo_uploads,team_photo_uploads_object_path_unique,CREATE UNIQUE INDEX team_photo_uploads_object_path_unique ON public.team_photo_uploads USING btree (object_path)
team_photo_uploads,team_photo_uploads_pkey,CREATE UNIQUE INDEX team_photo_uploads_pkey ON public.team_photo_uploads USING btree (id)
